Компания(последняя дата покупки дивидендов);Минимальная стоимость за месяц перед последней датой;Стоимость акции в последний день;Стоимость акции на следующий день после последней даты;Максимальная стоимость за месяц после последней даты;
НЛМК (NLMK 2016-01-05);58.29p. (+4.22%) 8 рабоч.дней_перед;60.75;60.75;71.00p. (+16.87%) 21 рабоч.дней_после
Магнит (MGNT 2016-01-05);10583.50p. (+6.51%) 10 рабоч.дней_перед;11272.80;11243.00;11421.80p. (+1.32%) 16 рабоч.дней_после
ФосАгро (PHOR 2016-01-22);2665.00p. (+7.43%) 5 рабоч.дней_перед;2863.00;2775.00;2775.00p. (-3.07%) 1 рабоч.дней_после
Группа ЛСР (LSRG 2016-04-14);664.50p. (+8.05%) 23 рабоч.дней_перед;718.00;654.50;654.50p. (-8.84%) 1 рабоч.дней_после
ЦМТ, АП (WTCMP 2016-04-19);5.91p. (+18.78%) 20 рабоч.дней_перед;7.02;7.04;7.04p. (+0.28%) 1 рабоч.дней_после
ЦМТ (WTCM 2016-04-19);7.80p. (+21.79%) 12 рабоч.дней_перед;9.50;9.15;9.90p. (+4.21%) 6 рабоч.дней_после
НОВАТЭК (NVTK 2016-04-28);584.40p. (+9.19%) 14 рабоч.дней_перед;638.10;612.80;659.90p. (+3.42%) 18 рабоч.дней_после
Корпорация ВСМПО-АВИСМА (VSMO 2016-05-25);12240.00p. (+3.76%) 17 рабоч.дней_перед;12700.00;12290.00;12290.00p. (-3.23%) 1 рабоч.дней_после
Банк Санкт-Петербург (BSPB 2016-06-03);50.59p. (+10.22%) 21 рабоч.дней_перед;55.77;54.54;55.62p. (-0.27%) 4 рабоч.дней_после
ММК (MAGN 2016-06-03);22.20p. (+16.94%) 20 рабоч.дней_перед;25.96;25.34;25.62p. (-1.31%) 3 рабоч.дней_после
ФосАгро (PHOR 2016-06-09);2771.00p. (-0.40%) 5 рабоч.дней_перед;2760.00;2745.00;2788.00p. (+1.01%) 12 рабоч.дней_после
Акрон (AKRN 2016-06-09);3500.00p. (+7.29%) 16 рабоч.дней_перед;3755.00;3610.00;3630.00p. (-3.33%) 4 рабоч.дней_после
НЛМК (NLMK 2016-06-09);79.99p. (+0.65%) 1 рабоч.дней_перед;80.51;77.70;84.52p. (+4.98%) 20 рабоч.дней_после
Сбербанк, АП (SBERP 2016-06-09);82.07p. (+19.14%) 15 рабоч.дней_перед;97.78;93.75;95.61p. (-2.22%) 9 рабоч.дней_после
Сбербанк (SBER 2016-06-09);119.55p. (+16.78%) 22 рабоч.дней_перед;139.61;133.50;138.00p. (-1.15%) 9 рабоч.дней_после
