Компания(последняя дата покупки дивидендов);Рабочих дней от минимальной стоимости до конечной даты;От минимальной стоимости до стоимости в последней дате;Стоимость акции в последний день для получения дивидендов;Стоимость акции на следующий день после последнего дня покупки для получения дивидендов;От стоимости с последней даты до максимальной стоимости после;Рабочих дней от конечной даты до максимальной стоимости;
НЛМК (NLMK 2016-01-05);8;+4.22%;60.75;60.75;+16.87%;21
Магнит (MGNT 2016-01-05);10;+6.51%;11272.80;11243.00;+1.32%;16
ФосАгро (PHOR 2016-01-22);5;+7.43%;2863.00;2775.00;-3.07%;1
Группа ЛСР (LSRG 2016-04-14);23;+8.05%;718.00;654.50;-8.84%;1
ЦМТ, АП (WTCMP 2016-04-19);20;+18.78%;7.02;7.04;+0.28%;1
ЦМТ (WTCM 2016-04-19);12;+21.79%;9.50;9.15;+4.21%;6
НОВАТЭК (NVTK 2016-04-28);14;+9.19%;638.10;612.80;+3.42%;18
Корпорация ВСМПО-АВИСМА (VSMO 2016-05-25);17;+3.76%;12700.00;12290.00;-3.23%;1
Банк Санкт-Петербург (BSPB 2016-06-03);21;+10.22%;55.77;54.54;-0.27%;4
ММК (MAGN 2016-06-03);20;+16.94%;25.96;25.34;-1.31%;3
ФосАгро (PHOR 2016-06-09);5;-0.40%;2760.00;2745.00;+1.01%;12
Акрон (AKRN 2016-06-09);16;+7.29%;3755.00;3610.00;-3.33%;4
НЛМК (NLMK 2016-06-09);1;+0.65%;80.51;77.70;+4.98%;20
Сбербанк, АП (SBERP 2016-06-09);15;+19.14%;97.78;93.75;-2.22%;9
Сбербанк (SBER 2016-06-09);22;+16.78%;139.61;133.50;-1.15%;9
Мосэнерго (MSNG 2016-06-15);8;+9.77%;1.66;1.63;+1.45%;16
Магнит (MGNT 2016-06-15);1;+3.11%;8868.27;8695.45;+6.48%;21
ГМК Норильский никель (GMKN 2016-06-17);1;-0.59%;8448.00;8300.00;+10.09%;18
ОАО МРСК Урала (MRKU 2016-06-22);19;+14.75%;0.14;0.12;-0.71%;22
МОЭСК (MSRS 2016-06-23);18;-9.20%;0.93;0.90;-0.86%;21
НК Роснефть (ROSN 2016-06-23);14;+11.77%;348.00;333.65;-2.47%;13
МРСК Центра (MRKC 2016-06-23);5;0.00%;0.24;0.24;+4.94%;21
МРСК Волги (MRKV 2016-06-24);6;+11.13%;0.03;0.03;+24.28%;20
М.видео (MVID 2016-06-29);19;+12.15%;326.80;301.70;+0.67%;21
Юнипро (UPRO 2016-06-30);21;+8.74%;2.75;2.60;+9.13%;21
Северсталь (CHMF 2016-07-01);11;+9.13%;699.10;684.10;+13.46%;20
МТС (MTSS 2016-07-01);4;+4.50%;245.05;235.45;+2.84%;20
ТГК-1 (TGKA 2016-07-05);7;+5.70%;0.01;0.00;+41.43%;22
РусГидро (HYDR 2016-07-06);13;+7.66%;0.62;0.60;+17.03%;16
Ростелеком, АП (RTKMP 2016-07-06);12;+4.62%;72.50;68.00;-6.21%;1
Ростелеком (RTKM 2016-07-06);3;+0.56%;92.01;88.49;-3.83%;1
Татнефть им. В.Д. Шашина (TATN 2016-07-06);7;+1.63%;321.15;314.35;+2.29%;22
Татнефть им. В.Д. Шашина, АП (TATNP 2016-07-06);14;+2.96%;177.20;170.70;-2.99%;22
Мечел, АП (MTLRP 2016-07-07);8;+5.28%;36.28;35.89;+5.60%;15
МОСТОТРЕСТ (MSTT 2016-07-07);19;+6.11%;97.30;88.30;-7.91%;13
ФСК ЕЭС (FEES 2016-07-07);19;+34.73%;0.16;0.16;-0.24%;17
ЛУКОЙЛ (LKOH 2016-07-08);16;+6.25%;2788.00;2752.00;+3.55%;14
ГК ТНС энерго (TNSE 2016-07-11);5;+22.32%;2000.00;1840.00;-7.50%;13
АФК Система (AFKS 2016-07-12);10;+10.82%;21.76;21.41;+7.74%;12
Сургутнефтегаз, АП (SNGSP 2016-07-14);21;+8.66%;41.40;36.00;-13.04%;1
